MSOA21CD,provider_code,provider_name
E02001791,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001792,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001793,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001794,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001795,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001796,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001798,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001799,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001800,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001801,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001802,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001803,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001804,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001805,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001806,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001807,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001808,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001809,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001810,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001811,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001812,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001813,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001814,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001815,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001816,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001817,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001818,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001819,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001820,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001821,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001822,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001823,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001824,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001825,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02001826,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004295,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004320,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004321,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004322,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004323,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004324,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02004326,R0B,South Tyneside and Sunderland NHS Foundation Trust
E02003172,R0D,University Hospitals Dorset NHS Foundation Trust
E02003173,R0D,University Hospitals Dorset NHS Foundation Trust
E02003174,R0D,University Hospitals Dorset NHS Foundation Trust
E02003175,R0D,University Hospitals Dorset NHS Foundation Trust
E02003176,R0D,University Hospitals Dorset NHS Foundation Trust
E02003177,R0D,University Hospitals Dorset NHS Foundation Trust
E02003178,R0D,University Hospitals Dorset NHS Foundation Trust
E02003179,R0D,University Hospitals Dorset NHS Foundation Trust
E02003180,R0D,University Hospitals Dorset NHS Foundation Trust
E02003181,R0D,University Hospitals Dorset NHS Foundation Trust
E02003182,R0D,University Hospitals Dorset NHS Foundation Trust
E02003183,R0D,University Hospitals Dorset NHS Foundation Trust
E02003184,R0D,University Hospitals Dorset NHS Foundation Trust
E02003185,R0D,University Hospitals Dorset NHS Foundation Trust
E02003186,R0D,University Hospitals Dorset NHS Foundation Trust
E02003187,R0D,University Hospitals Dorset NHS Foundation Trust
E02003188,R0D,University Hospitals Dorset NHS Foundation Trust
E02003189,R0D,University Hospitals Dorset NHS Foundation Trust
E02003190,R0D,University Hospitals Dorset NHS Foundation Trust
E02003191,R0D,University Hospitals Dorset NHS Foundation Trust
E02003192,R0D,University Hospitals Dorset NHS Foundation Trust
E02003194,R0D,University Hospitals Dorset NHS Foundation Trust
E02003195,R0D,University Hospitals Dorset NHS Foundation Trust
E02003196,R0D,University Hospitals Dorset NHS Foundation Trust
E02003197,R0D,University Hospitals Dorset NHS Foundation Trust
E02003198,R0D,University Hospitals Dorset NHS Foundation Trust
E02003199,R0D,University Hospitals Dorset NHS Foundation Trust
E02003200,R0D,University Hospitals Dorset NHS Foundation Trust
E02003201,R0D,University Hospitals Dorset NHS Foundation Trust
E02003202,R0D,University Hospitals Dorset NHS Foundation Trust
E02003203,R0D,University Hospitals Dorset NHS Foundation Trust
E02003204,R0D,University Hospitals Dorset NHS Foundation Trust
E02003205,R0D,University Hospitals Dorset NHS Foundation Trust
E02003206,R0D,University Hospitals Dorset NHS Foundation Trust
E02003207,R0D,University Hospitals Dorset NHS Foundation Trust
E02003208,R0D,University Hospitals Dorset NHS Foundation Trust
E02003209,R0D,University Hospitals Dorset NHS Foundation Trust
E02003210,R0D,University Hospitals Dorset NHS Foundation Trust
